text,label
"Опыт аккуратный, остались только хорошие впечатления",1
"Ресторан грязный, разочарована визитом",0
"Книга надежный, рекомендую друзьям",1
"Товар замечательный, полностью соответствует описанию",1
"Доставка грязный, курьер опоздал",0
"Ресторан грубый, разочарована визитом",0
"Фильм надежный и качественный, я в восторге",1
"Курс отличный, много полезного и практики",1
"Музыка слабый, невозможно слушать",0
"Курс классный, много полезного и практики",1
"Поддержка слабый, ничего не решили",0
"Сервис надежный, всё понравилось",1
"Фильм классный и аккуратный, я в восторге",1
"Опыт замечательный, остались только хорошие впечатления",1
"Плохо, всё грязный!",0
"Опыт аккуратный, остались только хорошие впечатления",1
"Курс классный, много полезного и практики",1
"Курс классный, много полезного и практики",1
"Плохо, всё некачественный!",0
"Доставка отвратительный, курьер опоздал",0
"Плохо, всё слабый!",0
"Доставка медленный, курьер опоздал",0
👍 Очень понравилось,1
"Опыт слабый, больше не вернусь",0
"Ресторан хороший, хочу вернуться",1
"Доставка некачественный, курьер опоздал",0
"Сервис восхитительный, всё понравилось",1
"Доставка медленный, курьер опоздал",0
"Отлично, всё замечательный!",1
"Товар хороший, полностью соответствует описанию",1
"Плохо, всё грязный!",0
"Ресторан грубый, разочарована визитом",0
😡 Совсем не понравилось,0
🤦 Совсем не понравилось,0
"Отлично, всё классный!",1
"Отлично, всё качественный!",1
"Приложение хороший, пользоваться удобно",1
👎 Совсем не понравилось,0
"Товар ужасный, пришёл с дефектом",0
"Книга медленный, читать сложно",0
"Отлично, всё восхитительный!",1
"Приложение плохой, постоянно вылетает",0
"Команда классный, отличная работа",1
"Не рекомендую, совсем плохо",0
"Книга плохой, читать сложно",0
"Курс некачественный, пустой и бесполезный",0
"Доставка некачественный, курьер опоздал",0
"Плохо, всё слабый!",0
"Товар ненадежный, пришёл с дефектом",0
"Команда аккуратный, отличная работа",1
"Отлично, всё качественный!",1
"Опыт грязный, больше не вернусь",0
"Команда ужасный, сорвала сроки",0
"Фильм некачественный, зря потратила время",0
"Сервис некачественный, осталась недовольна",0
"Сервис прекрасный, всё понравилось",1
"Поддержка некачественный, ничего не решили",0
"Доставка грязный, курьер опоздал",0
"Курс прекрасный, много полезного и практики",1
"Музыка скучный, невозможно слушать",0
